Reportable name	Marker	Laboratory	Cell Subtype
CD3+CD8+CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71_FITC MESF	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71_FITC MESF	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71_FITC MESF	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71_FITC MESF	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ %	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ %	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ %	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ %	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ %	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ %	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ %	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ %	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314_PE MESF	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314_PE MESF	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314_PE MESF	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314_PE MESF	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+TCRg/d +CD25+ %	CD25	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d +CD25+ ABS	CD25	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d +CD25_APC MESF	CD25	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d +CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d +CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d +CD71+ %	CD71	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d +CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d +CD71_FITC MESF	CD71	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d +CD314+ %	CD314	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d +CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d +CD314_PE MESF	CD314	Laboratory 1	Lymphocyte T, gamma-delta
CD3-CD56+/CD16+CD25+ %	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25+ %	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25+ %	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25+ %	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25+ ABS	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25+ ABS	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25+ ABS	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25+ ABS	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MESF	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MESF	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MESF	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MESF	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MFI	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MFI	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MFI	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MFI	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MFI	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MFI	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MFI	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MFI	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ %	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ %	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ %	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ %	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ %	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ %	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ %	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ %	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ ABS	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ ABS	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ ABS	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ ABS	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ ABS	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ ABS	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ ABS	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ ABS	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71_FITC MESF	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71_FITC MESF	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71_FITC MESF	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71_FITC MESF	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ %	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ %	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ %	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ %	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ %	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ %	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ %	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ %	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ ABS	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ ABS	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ ABS	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ ABS	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ ABS	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ ABS	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ ABS	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ ABS	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314_PE MESF	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314_PE MESF	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314_PE MESF	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314_PE MESF	CD314	Laboratory 1	Natural killer cell
CD3-CD14+CD25+ %	CD25	Laboratory 1	Monocyte
CD3-CD14+CD25+ ABS	CD25	Laboratory 1	Monocyte
CD3-CD14+CD25_APC MESF	CD25	Laboratory 1	Monocyte
CD3-CD14+CD25_APC MFI	CD25	Laboratory 1	Monocyte
CD3-CD14+CD71+ %	CD71	Laboratory 1	Monocyte
CD3-CD14+CD71+ ABS	CD71	Laboratory 1	Monocyte
CD3-CD14+CD71_FITC MESF	CD71	Laboratory 1	Monocyte
CD3-CD14+CD314+ %	CD314	Laboratory 1	Monocyte
CD3-CD14+CD314+ ABS	CD314	Laboratory 1	Monocyte
CD3-CD14+CD314_PE MESF	CD314	Laboratory 1	Monocyte
CD3-CD14+CD314_PE MESF	CD314	Laboratory 1	Monocyte
CD3-CD14+CD314_PE MESF	CD314	Laboratory 1	Monocyte
CD3-CD14+CD314_PE MESF	CD314	Laboratory 1	Monocyte
CD3-CD14+CD314_PE MFI	CD314	Laboratory 1	Monocyte
CD3-CD56+/CD16+CD25_APC MFI	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MFI	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MFI	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MFI	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MFI	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MFI	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MFI	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD25_APC MFI	CD25	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314_PE MFI	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314_PE MFI	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314_PE MFI	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314_PE MFI	CD314	Laboratory 1	Natural killer cell
CD3+CD4+CD314_PE MFI	CD314	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD8+CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314_PE MFI	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314_PE MFI	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314_PE MFI	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314_PE MFI	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+TCRg/d +CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d +CD25_APC MFI	CD25	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d +CD314_PE MFI	CD314	Laboratory 1	Lymphocyte T, gamma-delta
CD3+CD4+ CD69_APC MFI	CD69	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+ CD71_FITC MFI	CD71	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+CD69+ %	CD69	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+CD69+ ABS	CD69	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD4+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD4-positive
CD3+CD8+ CD314_PE MFI	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+ CD314_PE MFI	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+ CD314_PE MFI	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+ CD314_PE MFI	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+ CD69_APC MFI	CD69	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+ CD69_APC MFI	CD69	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+ CD69_APC MFI	CD69	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+ CD69_APC MFI	CD69	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+ CD71_FITC MFI	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+ CD71_FITC MFI	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+ CD71_FITC MFI	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+ CD71_FITC MFI	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ %	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ %	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ %	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ %	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ %	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ %	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ %	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ %	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD69+ %	CD69	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD69+ %	CD69	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD69+ %	CD69	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD69+ %	CD69	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD69+ ABS	CD69	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD69+ ABS	CD69	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD69+ ABS	CD69	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD69+ ABS	CD69	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ %	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+CD8+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, CD8-positive
CD3+TCRg/d+ %	no marker	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d+ ABS	no marker	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d+ CD314_PE MFI	CD314	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d+ CD69_APC MFI	CD69	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d+ CD71_FITC MFI	CD71	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d+CD314+ %	CD314	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d+CD314+ ABS	CD314	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d+CD69+ %	CD69	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d+CD69+ ABS	CD69	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d+CD71+ %	CD71	Laboratory 1	Lymphocyte T, gamma-delta
CD3+TCRg/d+CD71+ ABS	CD71	Laboratory 1	Lymphocyte T, gamma-delta
CD3-CD56+/CD16+ CD314_PE MFI	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+ CD314_PE MFI	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+ CD314_PE MFI	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+ CD314_PE MFI	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+ CD69_APC MFI	CD69	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+ CD69_APC MFI	CD69	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+ CD69_APC MFI	CD69	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+ CD69_APC MFI	CD69	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+ CD71_FITC MFI	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+ CD71_FITC MFI	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+ CD71_FITC MFI	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+ CD71_FITC MFI	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ %	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ %	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ %	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ %	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ %	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ %	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ %	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ %	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ ABS	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ ABS	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ ABS	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ ABS	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ ABS	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ ABS	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ ABS	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD314+ ABS	CD314	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD69+ %	CD69	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD69+ %	CD69	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD69+ %	CD69	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD69+ %	CD69	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD69+ ABS	CD69	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD69+ ABS	CD69	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD69+ ABS	CD69	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD69+ ABS	CD69	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ %	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ %	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ %	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ %	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ %	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ %	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ %	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ %	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ ABS	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ ABS	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ ABS	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ ABS	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ ABS	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ ABS	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ ABS	CD71	Laboratory 1	Natural killer cell
CD3-CD56+/CD16+CD71+ ABS	CD71	Laboratory 1	Natural killer cell
CD3+CD4+CD25+CD127-/loFoxP3+ %	no marker	Laboratory 1	Lymphocyte T, CD4-positive FOXP3-positive, regulatory
CD3+CD4+CD25+CD127-/loFoxP3+ %	no marker	Laboratory 1	Lymphocyte T, CD4-positive FOXP3-positive, regulatory
CD3+CD4+CD25+CD127-/loFoxP3+ ABS	no marker	Laboratory 1	Lymphocyte T, CD4-positive FOXP3-positive, regulatory
CD3+CD4+CD25+CD127-/loFoxP3+ ABS	no marker	Laboratory 1	Lymphocyte T, CD4-positive FOXP3-positive, regulatory
CD3+CD4+CD25+CD127-/loFoxP3+CD45RA- %	no marker	Laboratory 1	Lymphocyte T, CD4-positive FOXP3-positive, effector regulatory
CD3+CD4+CD25+CD127-/loFoxP3+CD45RA- %	no marker	Laboratory 1	Lymphocyte T, CD4-positive FOXP3-positive, effector regulatory
CD3+CD4+CD25+CD127-/loFoxP3+CD45RA- ABS	no marker	Laboratory 1	Lymphocyte T, CD4-positive FOXP3-positive, effector regulatory
